jao_substation,matched_osm_name,osm_id,latitude,longitude
TREBACZEW,Stacja elektroenergetyczna „Trębaczew” 400/110 kV,171917072,51.1428912,18.9074276
TUCZNAWA,Stacja elektroenergetyczna „Tucznawa” 400/110 kV,40946784,50.3767917,19.3316643
WIELOPOLE,Stacja elektroenergetyczna 400/220/110kV „Wielopole”,139452056,50.1226494,18.5409832
WRZOSOWA,"Stacja elektroenergetyczna ""Wrzosowa"" 220/110 kV",217899005,50.7539885,19.1664693
ZARNOWIEC,Stacja elektroenergetyczna 400/110kV „Żarnowiec”,86494356,54.7187833,18.1094152
ZGIERZ,Stacja elektroenergetyczna „Zgierz” 220/110 kV,101982559,51.830816,19.3834761
ZUKOWICE,"Stacja elektroenergetyczna ""Żukowice"" 220/110 kV",180535363,51.6623513,16.0060202
ZYDOWO KIERZKOWO,Stacja elektroenergetyczna Żydowo Kierzkowo 400/110kV,534238983,54.041394,16.7307257
LUBLIN SYSTEMOWA,"Stacja elektroenergetyczna ""Lublin Systemowa"" 400/110kV",148060965,51.2981035,22.6162183
AIRVAULT,Poste électrique de Airvault,110522458,46.8239334,-0.1251141
ALBERTVILLE,Poste électrique d'Albertville,56998024,45.6618902,6.4181727
ALLINGES,Allinges,69097591,46.334317,6.4614629
ANOULD,Poste Électrique d'Anould,121116528,48.1847939,6.9604147
AOSTE,Poste électrique de Aoste,118127416,45.5838794,5.6113447
ARENC,Marence,142971127,45.6409741,5.2618108
ARGIESANS,Poste électrique de Argiesans,123120808,47.601803,6.8139909
ARLOD,Poste électrique d’Arlod,118112539,46.0973317,5.81778
ARNAGE,Poste électrique de Arnage,28525395,47.9215608,0.1838047
ARRIGHI,Arrighi,46172440,48.7858282,2.4145001
AUBE,Umspannwerk Laubenheim,24686700,49.9518027,8.3094726
AUBUSSON,Poste d'Aubusson,137474877,45.9537227,2.1891907
AULNOYE,Aulnoye,757237014,50.1991452,3.8162349
AUSSOIS,Poste électrique de Aussois,146449309,45.2147533,6.7122236
AVALLON,Poste électrique d’Avallon,1056316394,47.4966126,3.9196132
AVELIN,Poste électrique d’Avelin,85605950,50.5249279,3.0822933
AVOINE,Pavoine,65124147,47.974813,0.2020884
BACALAN,Poste électrique de Bacalan,147394004,44.8822758,-0.5458476
BALARUC,Poste électrique de Balaruc,129830455,43.446012,3.7061926
BARBUISE,Poste électrique de Barbuise,118387084,48.5610291,3.5919899
BARJAC,Poste électrique de Barjac,147394005,44.3147784,4.3433693
BARNABOS,Poste électrique de Barnabos,85710783,49.6571105,1.0123464
BASTILLAC,Poste électrique de Bastillac,96822819,43.2253855,0.0401234
BATZENDORF,Poste électrique de Batzendorf,146402374,48.7993219,7.7243933
BAYET,Poste électrique de Bayet,71933086,46.273016,3.2948041
BEAULIEU,beaulieu,88249536,49.2158649,4.0266445
BEC,Bechterdissen 220 kV,24264701,52.0003456,8.6596117
BELLE-DE-MAI,Poste électrique Belle-de-Mai,733773994,43.3104665,5.3884504
BERGE,Umspannwerk Falkenberger Straße,20562009,52.5600732,13.4938076
BERGHOLZ,Poste électrique de Bergholz,193292042,48.7672292,7.0893973
BEZAUMONT,Poste électrique de Bezaumont,81665271,48.8572694,6.0977153
BIANCON,Poste électrique du Biançon,121500497,43.5950885,6.8358856
BISSY,Poste électrique de Bissy,56585982,45.5902758,5.9006445
BLOCAUX,Poste électrique de Blocaux,167268705,49.7720085,1.7833761
BOCTOIS,Poste électrique de Boctois,118387083,48.519368,3.5115552
BOIS-TOLLOT,Poste électrique de Bois-Tollot,26112209,46.2505546,6.0556676
BONNEAU,Bonneau,115476080,46.5985563,0.3939044
BONNIERES,Poste électrique de Bonnières,92316708,49.022477,1.5594805
BOUDEYRE,Poste de Boudeyre,135727900,44.5755149,4.3729251
BOURGUIGNON,Poste électrique du Bourguignon,490191058,47.4215219,6.7756561
BOUTRE,Poste électrique de Boutre,100087916,43.690868,5.8323699
BRAILLY-CORNEHOTTE,Poste électrique de Brailly-Cornehotte,219639224,50.236335,1.9678378
BRAUD,Poste électrique de Braud,105515586,45.2577594,-0.6820038
BREUIL (LE),Breuil le Sec,89278168,49.3752456,2.4502219
BRODE,Lütjenbrode,87651493,54.3617254,11.0434659
BRUGES,Poste électrique de Bruges,138610604,44.8908842,-0.6366516
BUIRE,Poste électrique de Buire,145289725,49.9159384,4.0493028
BUTTES-CHAUMONT,Poste électrique des Buttes-Chaumont,63213632,48.8754875,2.3762181
CAEN,Poste électrique de Caen,108084125,49.1812724,-0.3456706
CALAN,Poste électrique de Bacalan,147394004,44.8822758,-0.5458476
CANTEGRIT,Poste électrique de Cantegrit,111458307,44.0132434,-0.8871863
CARRIERES,Carrières,62110277,43.6743163,1.421263
CAZARIL,Poste électrique de Cazaril,110443404,43.1713135,0.5135006
CERGY,Poste électrique de Cergy,41722745,49.0490033,2.0594477
CERNAY,Poste électrique de Cernay,83105240,49.2723125,4.0864088
CESTAS,Poste électrique de Cestas,584362062,44.7205977,-0.7976055
CHAINGY,Poste électrique de Chaingy,34198056,47.8758076,1.8032174
CHALON,Chalon,122568639,46.7629917,4.8610856
CHAMBRY,Poste électrique de Chambry,82715808,48.9842151,2.9071302
CHAMPAGNIER,Poste électrique de Champagnier,69813552,45.1061878,5.7092808
CHAMPAGNOLE,Poste électrique de Champagnole,122411058,46.7582565,5.9075144
CHAMPS-REGNAUD,Poste électrique de Champs-Regnaud,122061929,47.3526841,5.0599218
CHAMPVANS,Poste électrique de Champvans,120464542,47.0981628,5.4442076
CHANCEAUX,Poste électrique de Chanceaux,27951432,47.4819322,0.6946906
