NE_name,EIC_Code,TSO,Substation_1,Substation_2,Voltage_level(kV),Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Fixed,DLRmin(A),DLRmax(A),Resistance_R(Ω),Reactance_X(Ω),Susceptance_B(μS),Length_(km),Comment,Substation_1_lat,Substation_1_lon,Substation_1_id,Substation_2_lat,Substation_2_lon,Substation_2_id
Eisenhüttenstadt (Abzweig) - Preilack 548-2,11T0000000000023,50HERTZ,Eisenhüttenstadt (Abzweig),Preilack,380,,,,,,,2280, ,,1.42,9.63,170.871,38.48,,,,,51.888923,14.4282757,941198517.0
Eula - Pulgar 587,11TD8L587------Q,50HERTZ,Eula,Pulgar,380,,,,,,,2720, ,,0.76,4.99,90.855,20.19,,53.4520615,10.0027232,28701956.0,51.1969579,12.3374246,442199284.0
Eula - Pulgar 588,11TD8L588------I,50HERTZ,Eula,Pulgar,380,,,,,,,2720, ,,0.76,4.99,90.855,20.19,,53.4520615,10.0027232,28701956.0,51.1969579,12.3374246,442199284.0
Eula - Röhrsdorf 203,11TD8L203------C,50HERTZ,Eula,Röhrsdorf,220,,,,,,,790, ,,4.09,18.35,161.164,51.51,,53.4520615,10.0027232,28701956.0,50.8586618,12.8151186,23117075.0
Eula - Weida 208,11TD8L208------9,50HERTZ,Eula,Weida,220,,,,,,,1070, ,,5.05,19.54,264.239,67.55,,53.4520615,10.0027232,28701956.0,48.3687977,13.3310325,114514790.0
Eula - Wolkramshausen 357,11TD8L357-----0Y,50HERTZ,Eula,Wolkramshausen,220,,,,,,,1070, ,,12.21,46.85,600.044,159.15,,53.4520615,10.0027232,28701956.0,51.4389073,10.7364133,35141237.0
Eula - Wolkramshausen 358,11TD8L358------S,50HERTZ,Eula,Wolkramshausen,220,,,,,,,1070, ,,12.21,46.85,600.044,159.15,,53.4520615,10.0027232,28701956.0,51.4389073,10.7364133,35141237.0
Förderstedt - Jessen/Nord 533,11T0-0000-0042-6,50HERTZ,Förderstedt,Jessen/Nord,380,,,,,,,2520, ,,3.25,30.49,527.096,117.5,,51.9092961,11.6443849,35137205.0,,,
Freiberg/Nord - Röhrsdorf 594,11TD8L594------4,50HERTZ,Freiberg/Nord,Röhrsdorf,380,,,,,,,2520, ,,1.05,9.69,167.573,37.59,,,,,50.8586618,12.8151186,23117075.0
Friedrichshain - Marzahn 921,11TD8L921------E,50HERTZ,Friedrichshain,Marzahn,380,,,,,,,1660, ,,0.11,1.23,300.839,5.38,,52.5214596,13.4564335,30954714.0,52.5358154,13.5241298,22973070.0
Friedrichshain - Marzahn 922,11TD8L922------6,50HERTZ,Friedrichshain,Marzahn,380,,,,,,,1660, ,,0.11,1.21,321.008,5.35,,52.5214596,13.4564335,30954714.0,52.5358154,13.5241298,22973070.0
Friedrichshain - Mitte 919,11TD8L919------X,50HERTZ,Friedrichshain,Mitte,380,,,,,,,1660, ,,0.13,1.51,368.32,6.55,,52.5214596,13.4564335,30954714.0,53.5389732,9.6346921,23485187.0
Friedrichshain - Mitte 920,11TD8L920------M,50HERTZ,Friedrichshain,Mitte,380,,,,,,,1660, ,,0.13,1.52,376.551,6.55,,52.5214596,13.4564335,30954714.0,53.5389732,9.6346921,23485187.0
Görries - Güstrow 423,11TD8L423------B,50HERTZ,Görries,Güstrow,380,,,,,,,2720, ,,2.24,18.24,311.992,71.58,,53.6007115,11.3706157,30040568.0,53.8164841,12.1881266,32062544.0
Gransee - Neuenhagen 517,11TD8L517-----1B,50HERTZ,Gransee,Neuenhagen,380,,,,,,,2040, ,,1.66,18.23,296.409,70.32,,52.9941334,13.2634937,518455594.0,52.5391386,13.7097134,137197826.0
Graustein - Bärwalde 565,11TD8L565------N,50HERTZ,Graustein,Bärwalde,380,,,,,,,2520,2520,3150,0.67,5.59,96.415,21.8,,51.5536869,14.4718998,30164703.0,51.4136565,14.5080932,157806991.0
Graustein - Bärwalde 566,11TD8L566------F,50HERTZ,Graustein,Bärwalde,380,,,,,,,2520,2520,3150,0.67,5.59,96.415,21.8,,51.5536869,14.4718998,30164703.0,51.4136565,14.5080932,157806991.0
Graustein - Preilack 541,11TD8L541-----0Y,50HERTZ,Graustein,Preilack,380,,,,,,,2000, ,,2.01,15.87,269.14,62.46,,51.5536869,14.4718998,30164703.0,51.888923,14.4282757,941198517.0
Graustein - Preilack 542,11TD8L542------S,50HERTZ,Graustein,Preilack,380,,,,,,,2000, ,,2.01,15.87,269.14,62.46,,51.5536869,14.4718998,30164703.0,51.888923,14.4282757,941198517.0
Güstrow - Putlitz/Süd 514,11TD8L514-----1Z,50HERTZ,Güstrow,Putlitz/Süd,380,,,,,,,2520, ,,2.88,26.43,422.23,100.3,,53.8164841,12.1881266,32062544.0,,,
Hagenwerder - Schmölln 553,11TD8L553------B,50HERTZ,Hagenwerder,Schmölln,380,,,,,,,2500, ,,1.65,14.5,252.301,56.66,,51.062518,14.9465212,59026005.0,51.1199666,14.2192312,157807291.0
Hagenwerder - Schmölln 554,11TD8L554------3,50HERTZ,Hagenwerder,Schmölln,380,,,,,,,2500, ,,1.65,14.5,252.301,56.66,,51.062518,14.9465212,59026005.0,51.1199666,14.2192312,157807291.0
Hamburg/Nord - Brunsbüttel 951,11TD8L951------O,50HERTZ,Hamburg/Nord,Brunsbüttel,380,,,,,,,3600, ,,1.07,13.95,283.937,57.1,,,,,53.8956326,9.2015449,30622610.0
Hamburg/Nord - Brunsbüttel 952,11TD8L952------G,50HERTZ,Hamburg/Nord,Brunsbüttel,380,,,,,,,3600, ,,1.07,13.95,283.937,57.1,,,,,53.8956326,9.2015449,30622610.0
Hamburg/Ost - Hamburg/Nord 961,11TD8L961------F,50HERTZ,Hamburg/Ost,Hamburg/Nord,380,,,,,,,2580,2520,3300,1.05,7.88,139.204,31,,53.5553753,10.1594788,23583867.0,,,
Hamburg/Ost - Hamburg/Nord 962,11TD8L962------7,50HERTZ,Hamburg/Ost,Hamburg/Nord,380,,,,,,,2580,2520,3300,1.05,7.88,139.204,31,,53.5553753,10.1594788,23583867.0,,,
Hamburg/Ost - Krümmel 991,11TD8L991------P,50HERTZ,Hamburg/Ost,Krümmel,380,,,,,,,3600, ,,0.59,6.78,141.717,28.39,,53.5553753,10.1594788,23583867.0,53.4121613,10.418303,943441483.0
